Rank,Country,X,CPI,Year,ID
94,Benin,AF,36,2012,BEN
94,Colombia,AM,36,2012,COL
94,Djibouti,AF,36,2012,DJI
94,Greece,EU,36,2012,GRC
94,India,AP,36,2012,IND
94,Moldova,EE,36,2012,MDA
94,Mongolia,AP,36,2012,MNG
94,Senegal,AF,36,2012,SEN
102,Argentina,AM,35,2012,ARG
102,Gabon,AF,35,2012,GAB
102,Tanzania,AF,35,2012,TZA
105,Algeria,ME,34,2012,DZA
105,Armenia,EE,34,2012,ARM
105,Bolivia,AM,34,2012,BOL
105,Gambia,AF,34,2012,GMB
105,Kosovo,EE,34,2012,NA
105,Mali,AF,34,2012,MLI
105,Mexico,AM,34,2012,MEX
105,Philippines,AP,34,2012,PHL
113,Albania,EE,33,2012,ALB
113,Ethiopia,AF,33,2012,ETH
113,Guatemala,AM,33,2012,GTM
113,Niger,AF,33,2012,NER
113,Timor-Leste,AP,33,2012,TLS
118,Dominican Republic,AM,32,2012,DOM
118,Ecuador,AM,32,2012,ECU
118,Egypt,ME,32,2012,EGY
118,Indonesia,AP,32,2012,IDN
118,Madagascar,AF,32,2012,MDG
123,Belarus,EE,31,2012,BLR
123,Mauritania,AF,31,2012,MRT
123,Mozambique,AF,31,2012,MOZ
123,Sierra Leone,AF,31,2012,SLE
123,Vietnam,AP,31,2012,VNM
128,Lebanon,ME,30,2012,LBN
128,Togo,AF,30,2012,TGO
130,Côte d´Ivoire,AF,29,2012,CIV
130,Nicaragua,AM,29,2012,NIC
130,Uganda,AF,29,2012,UGA
133,Comoros,AF,28,2012,COM
133,Guyana,AM,28,2012,GUY
133,Honduras,AM,28,2012,HND
133,Iran,ME,28,2012,IRN
133,Kazakhstan,EE,28,2012,KAZ
133,Russia,EE,28,2012,RUS
139,Azerbaijan,EE,27,2012,AZE
139,Kenya,AF,27,2012,KEN
139,Nepal,AP,27,2012,NPL
139,Nigeria,AF,27,2012,NGA
139,Pakistan,AP,27,2012,PAK
144,Bangladesh,AP,26,2012,BGD
144,Cameroon,AF,26,2012,CMR
144,Central African Republic,AF,26,2012,CAF
144,Congo Republic,AF,26,2012,COG
144,Syria,ME,26,2012,SYR
144,Ukraine,EE,26,2012,UKR
150,Eritrea,AF,25,2012,ERI
150,Guinea-Bissau,AF,25,2012,GNB
150,Papua New Guinea,AP,25,2012,PNG
150,Paraguay,AM,25,2012,PRY
154,Guinea,AF,24,2012,GIN
154,Kyrgyzstan,EE,24,2012,KGZ
156,Yemen,ME,23,2012,YEM
157,Angola,AF,22,2012,AGO
157,Cambodia,AP,22,2012,KHM
157,Tajikistan,EE,22,2012,TJK
160,Democratic Republic of the Congo,AF,21,2012,COD
160,Laos,AP,21,2012,LAO
160,Libya,ME,21,2012,LBY
163,Equatorial Guinea,AF,20,2012,GNQ
163,Zimbabwe,AF,20,2012,ZWE
165,Burundi,AF,19,2012,BDI
165,Chad,AF,19,2012,TCD
165,Haiti,AM,19,2012,HTI
165,Venezuela,AM,19,2012,VEN
169,Iraq,ME,18,2012,IRQ
170,Turkmenistan,EE,17,2012,TKM
170,Uzbekistan,EE,17,2012,UZB
172,Myanmar,AP,15,2012,MMR
173,Sudan,AF,13,2012,SDN
174,Afghanistan,AP,8,2012,AFG
174,North Korea,AP,8,2012,PRK
174,Somalia,AF,8,2012,SOM
